ts,year,month,day,dp,rmm,wdir,ws,t,rh,p
2014-06-03,2014,6,3,12.03326102675345,5.129999999999988,96.0,3.418872017353578,14.430730296457002,85.90672451193059,1012.0966015907516
2014-06-04,2014,6,4,13.04699927693423,1.3000000000000007,124.0,2.2621113521330414,18.589660159074427,72.29718004338395,1012.8825018076692
2014-06-05,2014,6,5,9.362111352133033,0.9200000000000005,79.0,2.9715835140997795,19.98156182212578,51.409978308026034,1011.2708604483042
2014-06-06,2014,6,6,12.847433116413606,2.9899999999999967,152.0,1.6519884309472177,18.53571945046999,70.32610267534345,1011.304121475056
2014-06-07,2014,6,7,10.689587852494576,2.5099999999999976,248.0,2.4140997830802577,15.707953723788867,72.83947939262472,1010.3221981200292
2014-06-08,2014,6,8,9.190238611713681,3.6499999999999932,214.0,2.102096890817066,14.917932031814905,69.06218365871294,1009.2058568329775
2014-06-09,2014,6,9,11.008749096167763,1.8400000000000012,309.0,2.431525668835866,16.94316702819957,68.99132321041215,1008.0652928416498
2014-06-10,2014,6,10,12.838539407086074,5.409999999999996,23.0,2.2990600144613214,15.918510484454055,82.4468546637744,1010.7151843817807
2014-06-11,2014,6,11,9.987924801156856,2.120000000000001,219.0,2.5323933477946516,15.9580621836587,68.74331164135937,1014.9247288503285
2014-06-12,2014,6,12,11.110918293564708,17.889999999999983,51.0,2.241648590021689,13.098120028922635,87.99132321041215,1005.0506869125146
2014-06-13,2014,6,13,11.267100506146049,10.829999999999991,338.0,2.5788141720896642,13.056905278380277,89.0824295010846,996.0117136659535
2014-06-14,2014,6,14,7.476500361532888,1.2100000000000006,6.0,5.218076644974694,12.430079537237862,72.67751265365148,1002.6017353579136
2014-06-15,2014,6,15,4.505350686912513,0.5300000000000002,276.0,2.881995661605201,13.202892263195935,56.76211135213305,1008.3281995661556
2014-06-16,2014,6,16,4.99450469992769,3.539999999999993,304.0,3.7497469269703547,11.561677512653619,65.19739696312364,1002.7045553145331
2014-06-17,2014,6,17,-1.9516268980477258,1.3700000000000008,264.0,4.8084598698481535,7.71048445408532,52.14750542299349,1002.3342010122924
